date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:06	42441/42441	---M--	200	added ('OK')	text/html	etag:%226014676c-a5c9%22	http://vzestup.webpark.cz/karen/ca_beyl.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/ca_beyl.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:08	52245/52245	---M--	200	added ('OK')	text/html	etag:%226014676c-cc15%22	http://vzestup.webpark.cz/karen/ca_25da.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/ca_25da.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:10	56800/56800	---M--	200	added ('OK')	text/html	etag:%226014676c-dde0%22	http://vzestup.webpark.cz/karen/a1bodhi.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/a1bodhi.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:12	34072/34072	---M--	200	added ('OK')	text/html	etag:%226014676c-8518%22	http://vzestup.webpark.cz/karen/a17harm.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/a17harm.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:14	47631/47631	---M--	200	added ('OK')	text/html	etag:%226014676c-ba0f%22	http://vzestup.webpark.cz/karen/LOL/lolsymboly.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/LOL/lolsymboly.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:16	17321/17321	---M--	200	added ('OK')	text/html	etag:%226014676c-43a9%22	http://vzestup.webpark.cz/karen/LOL/lolutil.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/LOL/lolutil.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:22	19180/19180	---M--	200	added ('OK')	text/html	etag:%226014676c-4aec%22	http://vzestup.webpark.cz/karen/ca_char1.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/ca_char1.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:24	8213/8213	---M--	200	added ('OK')	text/html	etag:%226014676c-2015%22	http://vzestup.webpark.cz/karen/a1crechart.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/a1crechart.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:26	39067/39067	---M--	200	added ('OK')	text/html	etag:%226014676c-989b%22	http://vzestup.webpark.cz/karen/lgsupport.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/lgsupport.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:28	31992/31992	---M--	200	added ('OK')	text/html	etag:%226014676c-7cf8%22	http://vzestup.webpark.cz/karen/ca_globu.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/ca_globu.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:30	19762/19762	---M--	200	added ('OK')	text/html	etag:%226014676c-4d32%22	http://vzestup.webpark.cz/karen/mepeaceint.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/mepeaceint.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:32	19125/19125	---M--	200	added ('OK')	text/html	etag:%226014676c-4ab5%22	http://vzestup.webpark.cz/karen/mebless.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/mebless.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:34	13901/13901	---M--	200	added ('OK')	text/html	etag:%226014676c-364d%22	http://vzestup.webpark.cz/karen/me_underway.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/me_underway.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:36	31108/31108	---M--	200	added ('OK')	text/html	etag:%226014676c-7984%22	http://vzestup.webpark.cz/karen/me-1stgate.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/me-1stgate.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:38	30530/30530	---M--	200	added ('OK')	text/html	etag:%226014676c-7742%22	http://vzestup.webpark.cz/karen/me-changegov.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/me-changegov.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:40	37203/37203	---M--	200	added ('OK')	text/html	etag:%226014676c-9153%22	http://vzestup.webpark.cz/karen/sun1.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/sun1.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:42	50208/50208	---M--	200	added ('OK')	text/html	etag:%226014676c-c420%22	http://vzestup.webpark.cz/karen/sun2.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/sun2.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:44	105899/105899	---M--	200	added ('OK')	text/html	etag:%226014676c-19dab%22	http://vzestup.webpark.cz/karen/sun3.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/sun3.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:46	51953/51953	---M--	200	added ('OK')	text/html	etag:%226014676c-caf1%22	http://vzestup.webpark.cz/karen/sun7.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/sun7.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:48	36095/36095	---M--	200	added ('OK')	text/html	etag:%226014676c-8cff%22	http://vzestup.webpark.cz/karen/easter.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/easter.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:50	43564/43564	---M--	200	added ('OK')	text/html	etag:%226014676c-aa2c%22	http://vzestup.webpark.cz/karen/ca_dol1.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/ca_dol1.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:52	12471/12471	---M--	200	added ('OK')	text/html	etag:%226014676c-30b7%22	http://vzestup.webpark.cz/karen/nature1.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/nature1.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:54	26720/26720	---M--	200	added ('OK')	text/html	etag:%226014676c-6860%22	http://vzestup.webpark.cz/karen/worldpeaceintend.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/worldpeaceintend.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:24:56	151142/151142	---M--	200	added ('OK')	application/pdf	etag:%226014676c-24e66%22	http://vzestup.webpark.cz/karen/LOL/lolkarty2tisk.pdf	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/LOL/lolkarty2tisk.pdf	(from http://vzestup.webpark.cz/karen/index_vz.html)
